cawf1	"Emergency crews extinguished a fire burning dangerously close to a Chevron underground natural gas pipeline Thursday and lifted an evacuation order that had forced some 4,000 residents from their homes the night before. Contra Costa County Deputy Fire Chief Lewis Broschard told reporters that all evacuation orders were lifted as of 2:30 p.m. Thursday, about 15 hours after some 1,400 homes were evacuated near the city of Bay Point. Broschard said officials decided quickly to issue evacuations ""so we could get people out of harm's way if there were to be a big explosion."" VIDEO: The attack unfolded at about 9:30 p.m. Sunday, when 18-year-old Nia Wilson was stabbed to death on a platform at the MacArthur BART Station. Her sister, 26-year-old Letifah Wilson, was wounded. At a news conference Thursday, officials hailed the operation a success, saying there were no injuries to residents or safety workers and no homes were damaged. The underground fire began Wednesday night inside a Chevron natural gas pipeline vault, where workers access pipeline valves, about an hour after a fire crew had been called to the area and extinguished a nearby grass fire, said Terence Carey, an assistant fire chief for the Contra Costa County Fire Protection District. Chevron emergency crews spent the night purging natural gas from the pipeline and then injected nitrogen to extinguish any remaining fire in the vault, Carey said. Once that operation was complete, fire and Chevron officials inspected the vault to make sure there was no remaining danger so people could return home. Carey said the vault was about 10-12 feet (3-4 meters) wide and 8 feet (2.5 meters) deep. He said Chevron officials were inspecting damage and would determine what repairs need to be made. He said he could not comment on potential disruption of services and referred questions to Chevron. Chevron officials did not respond to repeated questions sent by email asking for details on gas disruptions to the area and how many people would be affected. It was not clear if the grass fire caused the fire inside the pipeline vault, which Carey said was one of several questions under investigation. KTVU-TV reported that many people slept in their parked cars at a light rail station while others parked and slept in outdoor parking lots. Evacuation centers were opened Thursday. In 2010, a Pacific Gas & Electric Co. natural gas pipeline exploded in San Bruno, south of San Francisco, killing eight people and destroying 38 homes. The utility was subsequently convicted by a federal court for violating pipeline safety regulations and fined $1.6 billion."	2018-10-18
cawf2	"After the Tubbs fire destroyed his home, Will Abrams’ son read a book about the Great Chicago Fire of 1871. He learned that after the catastrophic blaze, the city required all new buildings to be constructed with fireproof materials like brick and stone. “Is our new house going to be made out of brick, Dad?” 10-year-old Leo asked his father. If this notion — to rebuild with careful intent after a fire — is obvious to a child, it should be to wine country officials, Abrams recalls thinking. If only it were that simple, officials say. One year after 5,500 Sonoma County homes were lost in California’s most destructive wildfire in recorded history, civil servants are balancing the threat of future disaster with an immediate and dire need for housing. So far, they have prioritized dwellings, clearing the way for residents to rebuild quickly. Little — if anything — has been done to strengthen building codes or zoning ordinances, which could lead to burdensome expenses for both cash-strapped residents and local government. “In California, we make that calculation every time we build,” said Santa Rosa Mayor Chris Coursey. “We don’t stop people from building because we live in an area with natural risks.” In fact, officials have made rebuilding as simple as possible in a county that was facing a serious housing shortage even before the fire. In Santa Rosa — which bore the brunt of the fire’s wrath — most construction permits are now approved within a few days. As of early October, more than 1,200 of the 2,700 homes lost in Santa Rosa were being rebuilt, most of them on the same properties that were engulfed in flames just a year before. One year after California's most devastating wildfire, Santa Rosa is a patchwork of loss and renewal. There are no plans to impose zoning ordinances that might restrict building in the county’s most fire-prone areas, said David Guhin, Santa Rosa’s assistant city manager. That could change when the city reviews its general plan in the coming months, Guhin said. But that is unlikely. Santa Rosa drafted its first general plan shortly after the 1964 Hanly fire, which carved a path of destruction nearly identical to the Tubbs fire. It urged developers to consider earthquakes and floods as they built, but not wildfires. The current plan doesn’t either. “We can’t tell someone where to rebuild their house,” Guhin said. “We can only make sure they’re built in a much more resilient way.” Many of them will be, thanks to California’s most recent building codes, which are some of the toughest in the country. Any home built since 2008 in the wildland-urban interface — where structures mingle with flammable vegetation — must follow strict fire-retardant standards, including mesh coverings on attic vents and double-paned windows. Sprinkler systems are now required in all new homes. “We’ve held everyone to those current standards,” said Sonoma County Supervisor James Gore. “But we also haven’t added any.” The county has instead focused on strengthening its emergency alert system. During the Tubbs fire, alerts reached only a fraction of those in the path of the blaze. The county has also launched a curbside chipper program, intended to help residents create defensible space — the 100-foot buffer between a structure and vegetation — around their homes. A county-sponsored marketing campaign encourages property owners to clear flammable plants from their land and harden their houses. But fire safety experts say that mere encouragement isn’t enough. The county should consider enforcing strengthened building and landscaping regulations, especially in neighborhoods that aren’t flagged as fire hazard zones but could ultimately succumb to an unpredictable weather event like the Tubbs firestorm, said Max Moritz, a wildfire specialist at UC Santa Barbara. Take, for example, Coffey Park, which lost more than 1,300 homes in the blaze, but is not in the wildland-urban interface. “As a researcher, I see lots of strong evidence supporting the idea that we should have more science-based regulatory constraints on how we build,” Moritz said. “Yet we shy away from that.” When Sonoma County officials argue against stricter building regulations, some note that many of the homes built to the county’s strictest codes were still destroyed in the Tubbs fire. The other argument? Money. Tougher codes would tack on tens-of-thousands of dollars to already expensive projects in middle-income neighborhoods like Coffey Park. And enforcing those standards requires resources the county just doesn’t have, Gore said. This funding shortfall is a problem most local governments confront after disasters, said Michele Steinberg, wildfire division director for the National Fire Prevention Assn. “You can put whatever you want in a code or a standard,” Steinberg said. “If you can’t enforce it, it’s worthless.” Some residents are pushing officials to explore less expensive ways to make the area more resilient. Abrams, who lost his home and is now the block captain for a fire-recovery neighborhood group, may be the most vocal among them. The 47-year-old has proposed a financial incentive program for those who meet certain fire-safe landscaping and building requirements. Gore, the supervisor, said that such a program may be in the works. The county has applied for a $6.5-million FEMA grant that would help residents fire-harden their homes, similar to earthquake retrofitting incentive programs. Abrams has also suggested county officials provide financial incentives to large private landholders like ranchers, vintners and golf courses owners who build fire breaks around their properties, and to develop tools that track progress toward enhanced community safety. Abrams, a tech entrepreneur, left New York for Sonoma County a few years ago because he craved the balance of quaint urbanity and nature that the area offers. Even so, Abrams and his wife, Eki, considered moving after the fire. But they chose to stick around; they wanted to show their 10-year-old son and 7-year-old daughter how to advocate for a more resilient community. “Our kids are not going to have a choice — they’ll have to join together to fight these climate change issues,” Abrams said. “I want them to see it in action, and learn from it, and be better prepared to deal with it.”"	2018-10-18
cawf3	"California is enduring another grueling wildfire season. But California fire experts say that wildfire season is a near-outdated term, and dangerous fires can happen anytime now. A Weather Channel simulation shows how a warmer planet is fueling the aggressive, persistent flames. It's shaping up to be another record-breaking year of wildfires in California. As of October 20, more than 7,100 fires have burned a combined total of more than 1.5 million acres across the state, the National Interagency Fire Center reports. The state also set a new record for its largest single wildfire to date when the Ranch Fire burned through 410,203 acres this fall. This is not an anomaly. In recent years, warmer temperatures across the western US have fueled more destructive flames than the region has ever seen. The 2017 fire season, which scorched vines across California wine country, was the costliest to date, triggering over $9.4 billion in losses in that state. The flames aren't even limited to a special season these days. ""We're responding to wildland fires year round now,"" Cal Fire spokesman Scott McLean recently told the Sacramento Bee. A breathtaking video featuring Weather Channel Meteorologist Stephanie Abrams shows us why that's the case: it's all about heat. ""Over the past few decades the climate over the western US has become more conducive for wildfires with overall warmer, drier weather,"" Abrams said, as a simulation of dry, hot, overgrown brush heated up behind her, providing the perfect tinder for explosive and deadly flames. In a warmer world, there's ""plenty of available fuel to burn,"" she added. Take a look at how the flames develop more quickly and spread with vigor in warmer, drier weather: Large wildfires burn twice the area now that they did in 1970, as Abrams noted in the clip. This is not a trend that's expected to get any better if we continue with business as usual. California's 2018 Climate Change Assessment report estimates that the average area that wildfires burn will increase 77% by 2100, if we continue burning emissions from fossil fuels such as coal, gas, and oil that warm the atmosphere. Temperatures across the western US are expected to remain above average through November, according to the latest federal climate reports. Large swaths of California are also looking really dry right now, providing the perfect kindling for sparking tough-to-contain fires. ""We're in uncharted territory,"" California Governor Jerry Brown said earlier this year. ""Since civilization emerged 10,000 years ago, we haven't had this kind of heat condition, and it's going to continue getting worse. That's the way it is."""	2018-10-20
cawf4	"(Reuters) - A fire near a Chevron Corp natural gas pipeline in Pittsburg, California, has been put out after prompting the shutdown of the line and the evacuation of about 4,000 people, fire officials said on Thursday. “At around 8 p.m. PDT on Wednesday, Chevron Pipe Line Company (CPL) was notified of a fire caused by an electrical power line falling which started a fire near our valve junction on the Northern California Gas Line,” Chevron said in a statement. The Contra Costa County Fire Protection District announced at 2:30 p.m. on Thursday that the evacuation order due to the incident had been lifted. “Residents are free to return to their homes as they wish. All danger has passed,” it said on Twitter. About 4,000 people from 1,400 houses were evacuated within a half-mile range of the fire, Steve Hill, a spokesman for the Contra Costa County Fire Protection District, said. He added that while the fire was relatively small, the real problem was that it was burning inside a vault, very close to the 12-inch natural gas pipeline. Ryan Bain, another spokesman for the fire protection district, later said the fire had been extinguished."	2018-10-18
cawf5	"The Latest on a fire threatening a natural gas pipeline in the San Francisco Bay Area (all times local): 3:15 p.m. Officials have lifted an evacuation order for some 4,000 San Francisco Bay Area residents after emergency crews extinguished a fire burning in an underground storage vault near a Chevron natural gas pipeline. Contra Costa County deputy fire chief Lewis Broschard said Thursday all evacuation orders were ended about 15 hours after some 1,400 homes were evacuated late Wednesday near Bay Point. Fire officials said Chevron emergency crews spent hours purging natural gas from the pipeline and then injected nitrogen to extinguish any remaining flames in the vault. Terence Carey, a Contra Costa County fire official, said fire and Chevron officials then inspected the vault to make sure there was no remaining danger so people could return to their homes. ——— 8:15 a.m. A fire is burning in an underground natural gas storage area in the San Francisco Bay Area and officials are working to empty the natural gas from a nearby Chevron pipeline after thousands of residents were evacuated. Chevron spokesman Cary Wages told reporters Thursday that crews were purging gas from the pipeline in the city of Bay Point and would then inject nitrogen ""which will extinguish the fire"" still burning in the underground vault. Contra Costa assistant fire chief Terence Carey said that a grass fire started Wednesday night near the pipeline and was quickly extinguished. A second fire was reported a short time later in the underground storage area. Officials said about 4,000 people were evacuated from 1,400 homes within a half-mile (0.8 kilometer) radius of the pipeline. Officials said Thursday they hoped to start letting people return home within hours, after the fire is extinguished. ——— 5:15 a.m. A grass fire sparked by a power line failure was threatening a major Chevron natural gas pipeline junction Thursday, leading to the evacuation of about 1,400 homes. Chevron officials say they learned of the blaze about 8 p.m. Wednesday, shut down the gas line and spent the night working to reduce pressure in it. Authorities ordered evacuations at about 11 p.m. for all homes within half a mile (0.8 kilometers) of the site. Fire officials advised residents not to be alarmed by a loud, shrieking noise that they described as being a ""normal part of the risk-mitigation process"" at the pipeline facility on Buchanan Road in Antioch."	2018-10-18
cawf6	"Firefighters have knocked down several small brushfires as Santa Ana winds bring gusty, dry and warm conditions to Southern California. Los Angeles County firefighters in Malibu stopped a fire at 3 acres early Friday and Los Angeles firefighters held a vegetation blaze near Dodger Stadium to an acre  overnight. An earlier blaze near the foothill communities of Irwindale and Duarte was stopped with the help of a Firehawk helicopter. The National Weather Service has issued red flag warnings for fire danger across a swath of Southern California through 10 p.m. While not as severe as winds that hit California on Monday and Tuesday, forecasters say some gusts could hit 45 mph."	2018-10-19
cawf7	"It’s been a year since Sonoma County and other Northern California counties were hit with devastating wildfires that led to dozens of deaths and the destruction of thousands of homes. On this episode of Gimme Shelter: The California Housing Crisis Podcast, we speak with Santa Rosa Mayor Chris Coursey about rebuilding efforts in his city, and resident John Thill, who lost both his home and business in the fires. With less than three weeks before the election, we also break down how gubernatorial candidates Gavin Newsom and John Cox handled housing questions in their lone debate, and discuss the latest polling and fundraising for Proposition 10, the initiative that would expand rent control across the state."	2018-10-19
cawf8	"Locally gusty winds will contribute to an elevated risk of wildfire ignition and spread across parts of Southern California through Saturday. While this will not be an extreme Santa Ana event, gusts between 35 and 45 mph are possible in some of the northeast- to southwest-orientated canyons and passes. Winds are forecast to average 10-20 mph elsewhere, except for the immediate Los Angeles basin, where winds will be significantly less strong. Static Fire Danger. While Friday brought the strongest winds of the event, enough of a breeze will persist to keep the fire risk elevated through much of the weekend in the canyons and over the passes. It has been nearly a week since the last significant rainfall. Brush has once again reached a critically dry stage. The winds will help to boost temperatures over the region. Highs are forecast to be well into the 80s F each day. A few locations may flirt with 90. The warmth will help to lower humidity levels, which will also boost the fire threat. ""People should use extreme caution with open flames and outdoor power equipment,"" according to AccuWeather Meteorologist Evan Duffey.""Never toss a burning cigarette on the ground. Even the breeze generated by passing vehicles can be enough to ignite a wildfire. Avoid driving over and parking on high brush. The hot exhaust system can also spark a fire,"" Duffey said. The gusty winds can also kick up dust, which can temporarily blind some motorists. Proceed with extreme caution under those conditions. Farther to the east, a pocket of moisture will become trapped over part of the Great Basin this weekend. This moisture will produce a fair amount of clouds and cause spotty showers and thunderstorms over portions of Arizona, Utah and Nevada on Saturday and Sunday. People spending time outdoors or on the road across the interior Southwest may face some interruptions and delays as a result. Meanwhile, a pair of budding tropical features off the southwest coast of Mexico over the Pacific are not expected to move far enough to the north to bring rain to most of the region. It is possible that this tropical moisture gets pulled across Texas, where they do not need it, and potentially aggravates flooding later next week."	2018-10-20
cawf9	"WASHINGTON (Reuters) - U.S. President Donald Trump on Wednesday rekindled his criticism of California’s wildfire prevention steps and threatened to withhold billions of dollars of federal funding amid one of the most destructive fire seasons on record. “It’s hurting our budget, it’s hurting our country and they better get their act together,” Trump said at a Cabinet meeting about California’s forestry management. He did not specify the type of funding that could be withheld. The Republican president’s comments, which followed his criticism in August of California’s wildfire prevention efforts, were aimed at Democratic Governor Jerry Brown, whom he has frequently criticized over immigration and other policies. With wildfires having charred nearly 2.8 million acres (1.1 million hectares) over the past two years in California, Trump said the state should do more to remove rotten trees and other debris that fuel fires. Brown’s press secretary, Evan Westrup, cited several fire prevention steps the governor had taken, including last month’s law requiring utilities to have fire prevention plans, and an order doubling to 500,000 acres (202,340 hectares) the land open to vegetation thinning. “The president’s comments are about as credible as his self-proclaimed ‘natural instinct for science,’” Westrup said in an email, referring to Trump’s self-assessment in an Associated Press interview this week. SIX-YEAR DROUGHT The California Department of Forestry and Fire Protection, or CalFire, noted that in the past two years of intense wildfires, the amount of federally managed forest land in California burned exceeded the amount of charred state forest land by 1.49 million acres (603,000 hectares) to 1.13 million acres (457,000 hectares), A six-year drought is mainly blamed for killing an estimated 129 million trees in state forests and CalFire has crews of 60 workers clearing debris every day, spokesman Scott McLean said by telephone. This week, California’s largest public utility cut off power to about 60,000 customers for up to two days in a fire prevention move when high winds threatened to topple trees and power lines. In August, Trump tweeted that unspecified water diversions to the Pacific Ocean were making California wildfires harder to fight. California had plenty of water to fight the blazes and the fires are primarily fought by crews hacking away at dry brush with hand tools and bulldozers, not with water, McLean said at the time."	2018-10-18
cawf10	"SAN FRANCISCO — Emergency crews extinguished a fire burning dangerously close to a Chevron underground natural gas pipeline Thursday and lifted an evacuation order that had forced some 4,000 residents from their homes the night before. Contra Costa County Deputy Fire Chief Lewis Broschard told reporters that all evacuation orders were lifted as of 2:30 p.m. Thursday, about 15 hours after some 1,400 homes were evacuated near the city of Bay Point. Broschard said officials decided quickly to issue evacuations ""so we could get people out of harm's way if there were to be a big explosion."" At a news conference Thursday, officials hailed the operation a success, saying there were no injuries to residents or safety workers and no homes were damaged. The underground fire began Wednesday night inside a Chevron natural gas pipeline vault, where workers access pipeline valves, about an hour after a fire crew had been called to the area and extinguished a nearby grass fire, said Terence Carey, an assistant fire chief for the Contra Costa County Fire Protection District. Chevron emergency crews spent the night purging natural gas from the pipeline and then injected nitrogen to extinguish any remaining fire in the vault, Carey said. Once that operation was complete, fire and Chevron officials inspected the vault to make sure there was no remaining danger so people could return home. Carey said the vault was about 10-12 feet (3-4 meters) wide and 8 feet (2.5 meters) deep. He said Chevron officials were inspecting damage and would determine what repairs need to be made. He said he could not comment on potential disruption of services and referred questions to Chevron. Chevron officials did not respond to repeated questions sent by email asking for details on gas disruptions to the area and how many people would be affected. It was not clear if the grass fire caused the fire inside the pipeline vault, which Carey said was one of several questions under investigation. KTVU-TV reported that many people slept in their parked cars at a light rail station while others parked and slept in outdoor parking lots. Evacuation centers were opened Thursday. In 2010, a Pacific Gas & Electric Co. natural gas pipeline exploded in San Bruno, south of San Francisco, killing eight people and destroying 38 homes. The utility was subsequently convicted by a federal court for violating pipeline safety regulations and fined $1.6 billion."	2018-10-18
